 200.000000000000000  # amax
 2000    # na
 200.000000000000000    # bmax
 2000      # nb
 20.0000000000000000    # Dmax
 100     # nD 
 400  # ndelta
 2693.16731997697798 0.100000000000000006E-08 0.100000000000000006E-08
 0.853358659260493368 0.202020203010101013 0.100000000000000006E-08
 0.481813009163740924 0.404040405020202054 0.100000000000000006E-08
 0.295305922735808246 0.606060607030303067 0.100000000000000006E-08
 0.184596471574177440 0.808080809040404024 0.100000000000000006E-08
 0.114656604055046157 1.01010101105050509 0.100000000000000006E-08
 0.694107763501187608E-01 1.21212121306060605 0.100000000000000006E-08
 0.400251915300555219E-01 1.41414141507070701 0.100000000000000006E-08
 0.211177338610515838E-01 1.61616161708080819 0.100000000000000006E-08
 0.920554029928449986E-02 1.81818181909090915 0.100000000000000006E-08
 0.195760001649724182E-02 2.02020202110101010 0.100000000000000006E-08
 -0.221184618368142072E-02 2.22222222311111128 0.100000000000000006E-08
 -0.438642110551275884E-02 2.42424242512121202 0.100000000000000006E-08
 -0.530361152028619668E-02 2.62626262713131320 0.100000000000000006E-08
 -0.545991741044116966E-02 2.82828282914141438 0.100000000000000006E-08
 -0.518395170795709140E-02 3.03030303115151511 0.100000000000000006E-08
 -0.468809821956092145E-02 3.23232323316161629 0.100000000000000006E-08
 -0.410521533049694725E-02 3.43434343517171703 0.100000000000000006E-08
 -0.351464658655697721E-02 3.63636363718181821 0.100000000000000006E-08
 -0.296049735173791427E-02 3.83838383919191939 0.100000000000000006E-08
 -0.246431071384779982E-02 4.04040404120202012 0.100000000000000006E-08
 -0.203371153498915335E-02 4.24242424321212130 0.100000000000000006E-08
 -0.166817994293885362E-02 4.44444444522222248 0.100000000000000006E-08
 -0.136281098625847322E-02 4.64646464723232366 0.100000000000000006E-08
 -0.111068629007657501E-02 4.84848484924242396 0.100000000000000006E-08
 -0.904308500672349651E-03 5.05050505125252513 0.100000000000000006E-08
 -0.736417792277009901E-03 5.25252525326262631 0.100000000000000006E-08
 -0.600412330620883898E-03 5.45454545527272749 0.100000000000000006E-08
 -0.490523744236475595E-03 5.65656565728282867 0.100000000000000006E-08
 -0.401848100617266477E-03 5.85858585929292897 0.100000000000000006E-08
 -0.330297533869163733E-03 6.06060606130303015 0.100000000000000006E-08
 -0.272513468543578662E-03 6.26262626331313133 0.100000000000000006E-08
 -0.225766180462113047E-03 6.46464646532323250 0.100000000000000006E-08
 -0.187854846150379683E-03 6.66666666733333368 0.100000000000000006E-08
 -0.157015500831855683E-03 6.86868686934343486 0.100000000000000006E-08
 -0.131840186495163752E-03 7.07070707135353516 0.100000000000000006E-08
 -0.111208137258772568E-03 7.27272727336363634 0.100000000000000006E-08
 -0.942285073304549424E-04 7.47474747537373752 0.100000000000000006E-08
 -0.801934851060178517E-04 7.67676767738383869 0.100000000000000006E-08
 -0.685403834959774508E-04 7.87878787939393987 0.100000000000000006E-08
 -0.588212760702151280E-04 8.08080808140404017 0.100000000000000006E-08
 -0.506788508213379624E-04 8.28282828341414223 0.100000000000000006E-08
 -0.438273110554621552E-04 8.48484848542424253 0.100000000000000006E-08
 -0.380373267946345611E-04 8.68686868743434282 0.100000000000000006E-08
 -0.331242084565685791E-04 8.88888888944444489 0.100000000000000006E-08
 -0.289386267078106603E-04 9.09090909145454518 0.100000000000000006E-08
 -0.253593340161806020E-04 9.29292929346464724 0.100000000000000006E-08
 -0.222874540099940304E-04 9.49494949547474754 0.100000000000000006E-08
 -0.196419956915628033E-04 9.69696969748484783 0.100000000000000006E-08
 -0.173563231505755374E-04 9.89898989949494990 0.100000000000000006E-08
 -0.153753702538269242E-04 10.1010101015050502 0.100000000000000006E-08
 -0.136534363601290296E-04 10.3030303035151523 0.100000000000000006E-08
 -0.121524356957517480E-04 10.5050505055252525 0.100000000000000006E-08
 -0.108405015945399406E-04 10.7070707075353528 0.100000000000000006E-08
 -0.969086901083259682E-05 10.9090909095454549 0.100000000000000006E-08
 -0.868097591011471499E-05 11.1111111115555552 0.100000000000000006E-08
 -0.779173742845935286E-05 11.3131313135656573 0.100000000000000006E-08
 -0.700695694126782459E-05 11.5151515155757576 0.100000000000000006E-08
 -0.631284608393763278E-05 11.7171717175858596 0.100000000000000006E-08
 -0.569763186100230620E-05 11.9191919195959599 0.100000000000000006E-08
 -0.515123368469788539E-05 12.1212121216060602 0.100000000000000006E-08
 -0.466499682219088134E-05 12.3232323236161623 0.100000000000000006E-08
 -0.423147155148862015E-05 12.5252525256262626 0.100000000000000006E-08
 -0.384422951985626096E-05 12.7272727276363646 0.100000000000000006E-08
 -0.349771051100114063E-05 12.9292929296464649 0.100000000000000006E-08
 -0.318709416947814700E-05 13.1313131316565652 0.100000000000000006E-08
 -0.290819228746594735E-05 13.3333333336666673 0.100000000000000006E-08
 -0.265735809489894250E-05 13.5353535356767676 0.100000000000000006E-08
 -0.243140965827413863E-05 13.7373737376868696 0.100000000000000006E-08
 -0.222756502403703422E-05 13.9393939396969699 0.100000000000000006E-08
 -0.204338716824452299E-05 14.1414141417070702 0.100000000000000006E-08
 -0.187673715749258753E-05 14.3434343437171723 0.100000000000000006E-08
 -0.172573420409652622E-05 14.5454545457272726 0.100000000000000006E-08
 -0.158872152458777657E-05 14.7474747477373747 0.100000000000000006E-08
 -0.146423709516491719E-05 14.9494949497474749 0.100000000000000006E-08
 -0.135098854897749723E-05 15.1515151517575752 0.100000000000000006E-08
 -0.124783158447302655E-05 15.3535353537676773 0.100000000000000006E-08
 -0.115375135659835912E-05 15.5555555557777776 0.100000000000000006E-08
 -0.106784640748570845E-05 15.7575757577878797 0.100000000000000006E-08
 -0.989314763620281885E-06 15.9595959597979800 0.100000000000000006E-08
 -0.917441884999991738E-06 16.1616161618080802 0.100000000000000006E-08
 -0.851590200570274304E-06 16.3636363638181805 0.100000000000000006E-08
 -0.791190004962963270E-06 16.5656565658282844 0.100000000000000006E-08
 -0.735731525682076256E-06 16.7676767678383847 0.100000000000000006E-08
 -0.684757998501883739E-06 16.9696969698484850 0.100000000000000006E-08
